id,NParkings,SumTime,AvgTime,Lon,Lat
-1,1,975.3666666666667,975.3666666666667,7.724191583333332,45.01287456410257
1,16,8006.816666666666,500.4260416666666,7.6166902499999996,45.01287456410257
2,148,112834.70000000003,762.3966216216218,7.623409083333333,45.01287456410257
3,58,58884.85000000001,1015.2560344827589,7.630127916666666,45.01287456410257
4,61,94383.48333333334,1547.270218579235,7.636846749999999,45.01287456410257
6,116,135672.4333333333,1169.5899425287353,7.650284416666666,45.01287456410257
7,216,272047.1833333332,1259.4777006172833,7.657003249999999,45.01287456410257
9,1,307.2,307.2,7.670440916666666,45.01287456410257
18,65,59908.08333333333,921.6628205128204,7.609971416666666,45.017443692307694
19,115,123782.66666666663,1076.3710144927534,7.6166902499999996,45.017443692307694
20,196,133699.83333333334,682.1420068027211,7.623409083333333,45.017443692307694
21,185,108369.13333333335,585.7790990990992,7.630127916666666,45.017443692307694
22,116,137702.64999999997,1187.0918103448273,7.636846749999999,45.017443692307694
23,70,42849.49999999999,612.1357142857141,7.6435655833333325,45.017443692307694
24,164,131775.33333333334,803.5081300813009,7.650284416666666,45.017443692307694
25,207,154598.41666666672,746.8522544283417,7.657003249999999,45.017443692307694
26,421,234320.73333333334,556.5813143309581,7.663722083333332,45.017443692307694
27,1,802.05,802.05,7.670440916666666,45.017443692307694
36,52,23179.716666666674,445.7637820512822,7.609971416666666,45.02201282051282
37,210,116822.74999999996,556.2988095238093,7.6166902499999996,45.02201282051282
38,68,105844.90000000001,1556.5426470588236,7.623409083333333,45.02201282051282
39,45,17351.099999999995,385.57999999999987,7.630127916666666,45.02201282051282
40,281,103588.76666666668,368.64329774614475,7.636846749999999,45.02201282051282
41,299,124938.33333333334,417.85395763656635,7.6435655833333325,45.02201282051282
42,265,107131.34999999993,404.2692452830186,7.650284416666666,45.02201282051282
43,240,110724.15000000001,461.35062500000004,7.657003249999999,45.02201282051282
44,294,155126.31666666665,527.6405328798186,7.663722083333332,45.02201282051282
45,55,19901.899999999998,361.85272727272724,7.670440916666666,45.02201282051282
58,281,99396.68333333338,353.7248517200476,7.636846749999999,45.02658194871795
59,403,135047.71666666662,335.1059966914804,7.6435655833333325,45.02658194871795
60,99,56414.70000000002,569.8454545454547,7.650284416666666,45.02658194871795
61,391,153112.41666666672,391.59185848252355,7.657003249999999,45.02658194871795
62,85,31788.699999999997,373.9847058823529,7.663722083333332,45.02658194871795
63,188,75624.39999999997,402.25744680851045,7.670440916666666,45.02658194871795
64,1,1917.6,1917.6,7.6771597499999995,45.02658194871795
75,24,16499.116666666665,687.4631944444444,7.630127916666666,45.03115107692308
76,153,91930.44999999994,600.8526143790846,7.636846749999999,45.03115107692308
77,137,52644.39999999997,384.2656934306567,7.6435655833333325,45.03115107692308
78,295,109558.04999999997,371.38322033898294,7.650284416666666,45.03115107692308
79,233,85853.83333333333,368.47138769670954,7.657003249999999,45.03115107692308
80,206,37301.31666666668,181.07435275080914,7.663722083333332,45.03115107692308
81,687,226558.56666666677,329.7795730228046,7.670440916666666,45.03115107692308
82,222,162448.10000000003,731.7481981981983,7.6771597499999995,45.03115107692308
91,80,41680.93333333335,521.0116666666669,7.6166902499999996,45.03572020512821
92,319,134536.3333333333,421.7439916405433,7.623409083333333,45.03572020512821
93,155,85070.9833333333,548.8450537634407,7.630127916666666,45.03572020512821
94,302,136656.1999999999,452.5039735099334,7.636846749999999,45.03572020512821
95,397,115940.56666666668,292.0417296389589,7.6435655833333325,45.03572020512821
96,515,120972.35,234.89776699029127,7.650284416666666,45.03572020512821
97,340,96789.91666666663,284.676225490196,7.657003249999999,45.03572020512821
98,36,6174.5666666666675,171.51574074074077,7.663722083333332,45.03572020512821
99,607,152746.63333333342,251.64190005491503,7.670440916666666,45.03572020512821
100,222,126992.43333333338,572.0379879879882,7.6771597499999995,45.03572020512821
101,65,41343.28333333332,636.0505128205126,7.683878583333333,45.03572020512821
109,47,29686.033333333336,631.617730496454,7.6166902499999996,45.040289333333334
110,220,177336.8166666667,806.0764393939396,7.623409083333333,45.040289333333334
111,273,146249.74999999997,535.7133699633698,7.630127916666666,45.040289333333334
112,345,146341.34999999998,424.17782608695643,7.636846749999999,45.040289333333334
113,607,163636.10000000036,269.5817133443169,7.6435655833333325,45.040289333333334
114,381,78883.73333333335,207.0439195100613,7.650284416666666,45.040289333333334
115,557,142417.9666666666,255.68755236385383,7.657003249999999,45.040289333333334
116,95,34582.58333333334,364.02719298245626,7.663722083333332,45.040289333333334
117,343,73193.20000000003,213.39125364431496,7.670440916666666,45.040289333333334
118,248,76725.80000000002,309.37822580645167,7.6771597499999995,45.040289333333334
119,230,106794.38333333333,464.32340579710143,7.683878583333333,45.040289333333334
128,96,83956.29999999999,874.5447916666666,7.623409083333333,45.04485846153846
129,295,194373.7666666667,658.8941242937854,7.630127916666666,45.04485846153846
130,269,85861.08333333331,319.18618339529115,7.636846749999999,45.04485846153846
131,541,148764.08333333343,274.9798213185461,7.6435655833333325,45.04485846153846
132,392,107038.34999999998,273.05701530612237,7.650284416666666,45.04485846153846
133,178,60859.250000000044,341.90589887640476,7.657003249999999,45.04485846153846
134,461,124323.51666666652,269.6822487346345,7.663722083333332,45.04485846153846
135,669,142580.64999999988,213.1250373692076,7.670440916666666,45.04485846153846
136,861,196559.5500000001,228.29216027874577,7.6771597499999995,45.04485846153846
137,345,103206.64999999995,299.1497101449274,7.683878583333333,45.04485846153846
147,492,268403.6500000002,545.5358739837402,7.630127916666666,45.04942758974359
148,405,133956.63333333333,330.7571193415638,7.636846749999999,45.04942758974359
