id,NParkings,SumTime,AvgTime,Lon,Lat
-1,1,975.3666666666667,975.3666666666667,7.724191583333332,45.01287456410257
1,2,774.55,387.275,7.6166902499999996,45.01287456410257
2,12,5466.85,455.5708333333334,7.623409083333333,45.01287456410257
3,8,2467.9833333333336,308.4979166666667,7.630127916666666,45.01287456410257
4,7,2322.1499999999996,331.7357142857142,7.636846749999999,45.01287456410257
6,17,12038.566666666668,708.150980392157,7.650284416666666,45.01287456410257
7,26,14502.716666666667,557.7967948717949,7.657003249999999,45.01287456410257
18,6,6204.566666666667,1034.0944444444444,7.609971416666666,45.017443692307694
19,12,5907.05,492.25416666666666,7.6166902499999996,45.017443692307694
20,29,10426.199999999997,359.5241379310344,7.623409083333333,45.017443692307694
21,19,6434.133333333334,338.6385964912281,7.630127916666666,45.017443692307694
22,18,14938.55,829.9194444444444,7.636846749999999,45.017443692307694
23,8,5642.966666666666,705.3708333333333,7.6435655833333325,45.017443692307694
24,17,8138.100000000001,478.71176470588244,7.650284416666666,45.017443692307694
25,25,17769.0,710.76,7.657003249999999,45.017443692307694
26,40,19020.999999999996,475.5249999999999,7.663722083333332,45.017443692307694
36,6,1411.55,235.25833333333333,7.609971416666666,45.02201282051282
37,26,13962.749999999998,537.0288461538461,7.6166902499999996,45.02201282051282
38,3,4130.066666666667,1376.6888888888889,7.623409083333333,45.02201282051282
39,3,461.50000000000006,153.83333333333334,7.630127916666666,45.02201282051282
40,34,7905.666666666668,232.5196078431373,7.636846749999999,45.02201282051282
41,26,7819.049999999999,300.7326923076923,7.6435655833333325,45.02201282051282
42,34,11484.866666666665,337.79019607843134,7.650284416666666,45.02201282051282
43,49,22121.68333333333,451.462925170068,7.657003249999999,45.02201282051282
44,34,14774.749999999998,434.55147058823525,7.663722083333332,45.02201282051282
45,5,2092.866666666667,418.5733333333334,7.670440916666666,45.02201282051282
58,46,16158.733333333335,351.27681159420297,7.636846749999999,45.02658194871795
59,59,26161.199999999997,443.4101694915254,7.6435655833333325,45.02658194871795
60,13,3863.866666666667,297.22051282051285,7.650284416666666,45.02658194871795
61,49,14381.366666666665,293.4972789115646,7.657003249999999,45.02658194871795
62,9,3914.5166666666664,434.9462962962963,7.663722083333332,45.02658194871795
63,13,4670.533333333334,359.2717948717949,7.670440916666666,45.02658194871795
75,4,4784.266666666667,1196.0666666666668,7.630127916666666,45.03115107692308
76,14,8595.533333333333,613.9666666666666,7.636846749999999,45.03115107692308
77,11,4397.0,399.72727272727275,7.6435655833333325,45.03115107692308
78,25,4643.683333333334,185.74733333333336,7.650284416666666,45.03115107692308
79,28,7883.666666666665,281.55952380952374,7.657003249999999,45.03115107692308
80,23,4677.016666666666,203.34855072463768,7.663722083333332,45.03115107692308
81,76,19242.21666666667,253.18706140350884,7.670440916666666,45.03115107692308
82,28,13919.399999999996,497.12142857142845,7.6771597499999995,45.03115107692308
91,9,5463.983333333334,607.1092592592593,7.6166902499999996,45.03572020512821
92,39,16629.733333333334,426.4034188034188,7.623409083333333,45.03572020512821
93,13,4717.066666666666,362.851282051282,7.630127916666666,45.03572020512821
94,46,15366.166666666664,334.0471014492753,7.636846749999999,45.03572020512821
95,66,16398.333333333332,248.45959595959593,7.6435655833333325,45.03572020512821
96,55,14677.016666666666,266.8548484848485,7.650284416666666,45.03572020512821
97,37,11988.033333333335,324.00090090090094,7.657003249999999,45.03572020512821
98,8,1860.4333333333334,232.55416666666667,7.663722083333332,45.03572020512821
99,78,16265.650000000005,208.53397435897443,7.670440916666666,45.03572020512821
100,33,28230.36666666667,855.4656565656567,7.6771597499999995,45.03572020512821
101,3,2241.5666666666666,747.1888888888889,7.683878583333333,45.03572020512821
109,2,1096.7166666666667,548.3583333333333,7.6166902499999996,45.040289333333334
110,30,11740.133333333333,391.3377777777778,7.623409083333333,45.040289333333334
111,37,14375.850000000004,388.5364864864866,7.630127916666666,45.040289333333334
112,39,16748.983333333337,429.4611111111112,7.636846749999999,45.040289333333334
113,75,21083.949999999997,281.1193333333333,7.6435655833333325,45.040289333333334
114,38,10411.133333333335,273.9771929824562,7.650284416666666,45.040289333333334
115,73,17119.199999999997,234.50958904109586,7.657003249999999,45.040289333333334
116,6,4067.35,677.8916666666667,7.663722083333332,45.040289333333334
117,39,6615.983333333333,169.64059829059826,7.670440916666666,45.040289333333334
118,27,8081.500000000001,299.31481481481484,7.6771597499999995,45.040289333333334
119,24,14864.46666666667,619.352777777778,7.683878583333333,45.040289333333334
128,12,10477.133333333333,873.0944444444444,7.623409083333333,45.04485846153846
129,28,22037.183333333334,787.042261904762,7.630127916666666,45.04485846153846
130,36,10767.799999999997,299.1055555555555,7.636846749999999,45.04485846153846
131,65,18259.21666666666,280.91102564102556,7.6435655833333325,45.04485846153846
132,48,12609.183333333334,262.69131944444445,7.650284416666666,45.04485846153846
133,29,10755.316666666668,370.8729885057472,7.657003249999999,45.04485846153846
134,46,13073.483333333334,284.20615942028985,7.663722083333332,45.04485846153846
135,71,17810.800000000003,250.85633802816906,7.670440916666666,45.04485846153846
136,103,24851.249999999996,241.27427184466015,7.6771597499999995,45.04485846153846
137,25,7906.133333333333,316.24533333333335,7.683878583333333,45.04485846153846
147,55,31080.483333333326,565.0996969696969,7.630127916666666,45.04942758974359
148,42,13924.599999999999,331.5380952380952,7.636846749999999,45.04942758974359
149,42,13883.933333333332,330.5698412698413,7.6435655833333325,45.04942758974359
150,48,11639.466666666667,242.4888888888889,7.650284416666666,45.04942758974359
151,45,21359.333333333332,474.6518518518518,7.657003249999999,45.04942758974359
